2020-08-19 12:08:47 INFO  Browser :82 - URL has been opened: http://computer-database.herokuapp.com/computers
2020-08-19 12:08:304 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: add]
2020-08-19 12:08:362 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: add]
2020-08-19 12:08:724 INFO  BaseClass :65 - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: add'
2020-08-19 12:08:742 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:781 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:891 INFO  BaseClass :81 - Entered text: ASUS ROG 1 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:904 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:936 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:44 INFO  BaseClass :81 - Entered text: 2020-08-10 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:55 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: discontinued]
2020-08-19 12:08:87 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: discontinued]
2020-08-19 12:08:184 INFO  BaseClass :81 - Entered text: 2020-12-31 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: discontinued]
2020-08-19 12:08:286 INFO  BaseClass :115 - IBM has been selected from available dropdown options
2020-08-19 12:08:300 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:330 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:263 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:277 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:308 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:316 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:344 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:345 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:952 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: add]
2020-08-19 12:08:982 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: add]
2020-08-19 12:08:321 INFO  BaseClass :65 - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: add'
2020-08-19 12:08:333 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:363 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:470 INFO  BaseClass :81 - Entered text: ASUS ROG 2 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:480 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:509 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:606 INFO  BaseClass :81 - Entered text: 2020-08-15 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
